,video_id,view_count,like_count,comment_count,tags
67,69g1KMMF6Cc,519481,10534,1418,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'Dead by Daylight', 'ホラーゲーム', 'ホラー', '面白い']"
68,DWIaFj4Lvrw,2164530,13800,1000,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '戦い']"
69,SvblISoOCB4,569280,21091,2754,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'カバン', '中身', '紹介']"
70,3MV6XQOcoa4,1672881,13457,1001,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い']"
71,Y9WvR1E5al8,1522469,18466,1713,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'Trap Adventure2', 'アプリ', 'スマホ', 'iPhone']"
72,kdMznpQAMQ4,1265470,0,0,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'かくれんぼ']"
73,NTE8HPhOkH0,929467,12021,1238,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '赤ちゃん', '育児']"
74,uHeMT0Tp86w,997131,11901,1366,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'ホラーゲーム', 'ホラゲ']"
75,NqhOONE_u_w,1067275,10891,1174,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '鬼畜', '友達', 'うるさい', 'バカゲー', '面白い']"
76,yqmDUDUook8,3163791,28150,2275,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'アプリ', 'バカゲー', '面白い', 'iPhone', 'android']"
77,EIEPZMtaP_M,454031,8333,962,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'フリーゲーム']"
78,lxVEK3iebds,1167939,15861,1768,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'フォートナイト', 'PS4', 'バトルロワイヤル']"
79,9qoSitcKz8E,3419843,29480,2625,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'スマホ', 'アプリ', 'バカゲー', '面白い', '漫画']"
80,gVAPt9WlzFU,370551,7278,940,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', 'ゴルフ']"
81,-HyJ4zxSN-w,841606,11043,1129,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '海', 'サバイバル', '面白い']"
82,iYbDvjARC3k,2931891,25201,1992,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '地球滅亡', '地球滅亡60秒前', 'Meteor 60 Seconds!']"
83,70ztK32g_Rc,1620854,11982,1266,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '戦争', '戦い']"
84,w-94u4RsMvs,746697,10018,1111,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'fortnite', '面白い', 'TPS', 'バトルロワイアル']"
